bul,eng,fin,por,spa,swe
53489,493657,331974,1030736,762367,1404088	2
593670,4613949,331974,1030736,762367,1404088	2
2462570,4613949,331974,1030736,762367,1404088	2
53489,4613949,331974,1030736,762367,1404088	2
593670,1151748,331974,1030736,762367,1404088	2
2462570,1151748,331974,1030736,762367,1404088	2
53489,1151748,331974,1030736,762367,1404088	2
1431661,2489,331974,1030736,762367,1404088	2
593653,2489,331974,1030736,762367,1404088	2
241649,2489,331974,1030736,762367,1404088	2
2282054,2489,331974,1030736,762367,1404088	2
52119,2489,331974,1030736,762367,1404088	2
620264,2489,331974,1030736,762367,1404088	2
2548298,2489,331974,1030736,762367,1404088	2
1351544,2489,331974,1030736,762367,1404088	2
5859299,2489,331974,1030736,762367,1404088	2
593653,586853,331974,1030736,762367,1404088	2
620264,640422,331974,1030736,762367,1404088	2
1431661,1435619,331974,1030736,762367,1404088	2
52119,493657,331974,1030736,762367,1404088	2
1351544,1151748,331974,1030736,762367,1404088	2
71882,436542,395136,2740005,762368,4343148	2
71882,968428,395136,2740005,762368,4343148	2
71882,2753026,395136,2740005,762368,4343148	2
71882,2493,395136,2740005,762368,4343148	2
71882,951276,395136,2740005,762368,4343148	2
71882,1503325,395136,2740005,762368,4343148	2
1288,2491,395136,2740005,762368,4343148	2
1288,436542,395136,2740005,762368,4343148	2
1288,2753026,395136,2740005,762368,4343148	2
1288,2493,395136,2740005,762368,4343148	2
1288,951276,395136,2740005,762368,4343148	2
1286,3518139,395136,2740005,762368,4343148	2
1286,436542,395136,2740005,762368,4343148	2
1286,968428,395136,2740005,762368,4343148	2
1286,2753026,395136,2740005,762368,4343148	2
1286,2493,395136,2740005,762368,4343148	2
1286,951276,395136,2740005,762368,4343148	2
1286,1503325,395136,2740005,762368,4343148	2
3129823,2508,397604,2677716,762372,7681209	2
71632,436802,893304,3076915,528232,1975236	2
1337519,436802,893304,3076915,528232,1975236	2
431891,436802,893304,3076915,528232,1975236	2
1841634,436802,893304,3076915,528232,1975236	2
1550027,436802,893304,3076915,528232,1975236	2
3911942,436802,893304,3076915,528232,1975236	2
1427869,436802,893304,3076915,528232,1975236	2
3911972,436802,893304,3076915,528232,1975236	2
71632,454574,893304,3076915,528232,1975236	2
1337519,454574,893304,3076915,528232,1975236	2
431891,454574,893304,3076915,528232,1975236	2
1841634,454574,893304,3076915,528232,1975236	2
1550027,454574,893304,3076915,528232,1975236	2
3911942,454574,893304,3076915,528232,1975236	2
1427869,454574,893304,3076915,528232,1975236	2
3911972,454574,893304,3076915,528232,1975236	2
52081,1778434,2960743,7757059,779671,1990617	2
52081,378542,2960743,7757059,779671,1990617	2
52081,941852,2960743,7757059,779671,1990617	2
52081,5769218,2960743,7757059,779671,1990617	2
52081,1771993,2960743,7757059,779671,1990617	2
52081,337105,2960743,7757059,779671,1990617	2
52081,6682423,2960743,7757059,779671,1990617	2
52081,6682426,2960743,7757059,779671,1990617	2
52081,1391632,2960743,7757059,779671,1990617	2
52081,6614126,2960743,7757059,779671,1990617	2
52081,6614127,2960743,7757059,779671,1990617	2
65918,337105,2960743,7757059,779671,1990617	2
495219,1778434,2960743,7757059,779671,1990617	2
495219,5164341,2960743,7757059,779671,1990617	2
495219,378542,2960743,7757059,779671,1990617	2
495219,941852,2960743,7757059,779671,1990617	2
495219,5769218,2960743,7757059,779671,1990617	2
495219,1771993,2960743,7757059,779671,1990617	2
495219,337105,2960743,7757059,779671,1990617	2
495219,6682423,2960743,7757059,779671,1990617	2
495219,6682426,2960743,7757059,779671,1990617	2
495219,1391632,2960743,7757059,779671,1990617	2
495219,6614126,2960743,7757059,779671,1990617	2
495219,6614127,2960743,7757059,779671,1990617	2
1356753,2532,397607,2740038,762385,5921527	2
1356753,434255,397607,2740038,762385,5921527	2
1182334,5670262,351198,2762650,761811,1996639	2
4755158,5670262,351198,2762650,761811,1996639	2
1587251,5670262,351198,2762650,761811,1996639	2
3734924,5670262,351198,2762650,761811,1996639	2
328232,5670262,351198,2762650,761811,1996639	2
1182334,4840794,351198,2762650,761811,1996639	2
4755158,4840794,351198,2762650,761811,1996639	2
1587251,4840794,351198,2762650,761811,1996639	2
3734924,4840794,351198,2762650,761811,1996639	2
328232,4840794,351198,2762650,761811,1996639	2
4755158,4242106,351198,2762650,761811,1996639	2
1587251,4242106,351198,2762650,761811,1996639	2
3734924,4242106,351198,2762650,761811,1996639	2
328232,4242106,351198,2762650,761811,1996639	2
1640968,2535,351198,2762650,761811,1996639	2
1640968,1173024,351198,2762650,761811,1996639	2
1640968,5020949,351198,2762650,761811,1996639	2
1640968,2808470,351198,2762650,761811,1996639	2
1640968,2808483,351198,2762650,761811,1996639	2
1023661,599583,397652,2740048,2817741,1995381	2
1023661,1322533,397652,2740048,2817741,1995381	2
1023661,1317302,397652,2740048,2817741,1995381	2
1023661,1322532,397652,2740048,2817741,1995381	2
2123550,1179321,397635,2768278,762396,4409034	2
2123550,1202440,397635,2768278,762396,4409034	2
2251157,2591,397635,2768278,762396,4409034	2
37894,2591,397635,2768278,762396,4409034	2
2322,2591,397635,2768278,762396,4409034	2
1421,2058788,3074525,3350731,762407,4359979	2
1421,1193723,3074525,3350731,762407,4359979	2
599172,477215,3074525,3350731,762407,4359979	2
599172,1193723,3074525,3350731,762407,4359979	2
2365642,1210069,1701197,3373927,433087,3833834	2
2365642,4648379,1701197,3373927,433087,3833834	2
2365642,2639,1701197,3373927,433087,3833834	2
2365642,380198,1701197,3373927,433087,3833834	2
2365642,863722,1701197,3373927,433087,3833834	2
2365642,743883,1701197,3373927,433087,3833834	2
2365642,2680394,1701197,3373927,433087,3833834	2
2365642,1512323,1701197,3373927,433087,3833834	2
2365642,1246286,1701197,3373927,433087,3833834	2
2365642,1246288,1701197,3373927,433087,3833834	2
2365642,1618133,1701197,3373927,433087,3833834	2
2365642,3297387,1701197,3373927,433087,3833834	2
2365642,4482236,1701197,3373927,433087,3833834	2
394631,1210069,1701197,3373927,433087,3833834	2
261221,1210069,1701197,3373927,433087,3833834	2
5140699,4522190,1701197,3373927,433087,3833834	2
1520245,4522190,1701197,3373927,433087,3833834	2
1933625,4522190,1701197,3373927,433087,3833834	2
283629,4522190,1701197,3373927,433087,3833834	2
1121357,4522190,1701197,3373927,433087,3833834	2
4831055,4522190,1701197,3373927,433087,3833834	2
6586655,4522190,1701197,3373927,433087,3833834	2
71454,4522190,1701197,3373927,433087,3833834	2
2245943,4522190,1701197,3373927,433087,3833834	2
2861764,4522190,1701197,3373927,433087,3833834	2
4500187,4522190,1701197,3373927,433087,3833834	2
5839920,4522190,1701197,3373927,433087,3833834	2
4495693,4522190,1701197,3373927,433087,3833834	2
5140699,4522192,1701197,3373927,433087,3833834	2
1520245,4522192,1701197,3373927,433087,3833834	2
1933625,4522192,1701197,3373927,433087,3833834	2
283629,4522192,1701197,3373927,433087,3833834	2
1121357,4522192,1701197,3373927,433087,3833834	2
4831055,4522192,1701197,3373927,433087,3833834	2
6586655,4522192,1701197,3373927,433087,3833834	2
71454,4522192,1701197,3373927,433087,3833834	2
2245943,4522192,1701197,3373927,433087,3833834	2
2861764,4522192,1701197,3373927,433087,3833834	2
4500187,4522192,1701197,3373927,433087,3833834	2
5839920,4522192,1701197,3373927,433087,3833834	2
4495693,4522192,1701197,3373927,433087,3833834	2
5140699,4522195,1701197,3373927,433087,3833834	2
1520245,4522195,1701197,3373927,433087,3833834	2
1933625,4522195,1701197,3373927,433087,3833834	2
283629,4522195,1701197,3373927,433087,3833834	2
1121357,4522195,1701197,3373927,433087,3833834	2
4831055,4522195,1701197,3373927,433087,3833834	2
6586655,4522195,1701197,3373927,433087,3833834	2
71454,4522195,1701197,3373927,433087,3833834	2
2245943,4522195,1701197,3373927,433087,3833834	2
2861764,4522195,1701197,3373927,433087,3833834	2
4500187,4522195,1701197,3373927,433087,3833834	2
5839920,4522195,1701197,3373927,433087,3833834	2
4495693,4522195,1701197,3373927,433087,3833834	2
5140699,356709,1701197,3373927,433087,3833834	2
1520245,356709,1701197,3373927,433087,3833834	2
1933625,356709,1701197,3373927,433087,3833834	2
283629,356709,1701197,3373927,433087,3833834	2
1121357,356709,1701197,3373927,433087,3833834	2
4831055,356709,1701197,3373927,433087,3833834	2
6586655,356709,1701197,3373927,433087,3833834	2
71454,356709,1701197,3373927,433087,3833834	2
2245943,356709,1701197,3373927,433087,3833834	2
2861764,356709,1701197,3373927,433087,3833834	2
4500187,356709,1701197,3373927,433087,3833834	2
5839920,356709,1701197,3373927,433087,3833834	2
4495693,356709,1701197,3373927,433087,3833834	2
5140699,776952,1701197,3373927,433087,3833834	2
1520245,776952,1701197,3373927,433087,3833834	2
1933625,776952,1701197,3373927,433087,3833834	2
283629,776952,1701197,3373927,433087,3833834	2
1121357,776952,1701197,3373927,433087,3833834	2
4831055,776952,1701197,3373927,433087,3833834	2
6586655,776952,1701197,3373927,433087,3833834	2
71454,776952,1701197,3373927,433087,3833834	2
2245943,776952,1701197,3373927,433087,3833834	2
2861764,776952,1701197,3373927,433087,3833834	2
4500187,776952,1701197,3373927,433087,3833834	2
5839920,776952,1701197,3373927,433087,3833834	2
4495693,776952,1701197,3373927,433087,3833834	2
394631,4648379,1701197,3373927,433087,3833834	2
261221,4648379,1701197,3373927,433087,3833834	2
394631,1771991,1701197,3373927,433087,3833834	2
261221,1771991,1701197,3373927,433087,3833834	2
394631,2639,1701197,3373927,433087,3833834	2
261221,2639,1701197,3373927,433087,3833834	2
394631,380198,1701197,3373927,433087,3833834	2
261221,380198,1701197,3373927,433087,3833834	2
394631,863722,1701197,3373927,433087,3833834	2
261221,863722,1701197,3373927,433087,3833834	2
394631,2390592,1701197,3373927,433087,3833834	2
261221,2390592,1701197,3373927,433087,3833834	2
394631,743883,1701197,3373927,433087,3833834	2
261221,743883,1701197,3373927,433087,3833834	2
394631,2680394,1701197,3373927,433087,3833834	2
261221,2680394,1701197,3373927,433087,3833834	2
394631,1512323,1701197,3373927,433087,3833834	2
261221,1512323,1701197,3373927,433087,3833834	2
394631,1246286,1701197,3373927,433087,3833834	2
261221,1246286,1701197,3373927,433087,3833834	2
394631,1246288,1701197,3373927,433087,3833834	2
261221,1246288,1701197,3373927,433087,3833834	2
394631,1618133,1701197,3373927,433087,3833834	2
261221,1618133,1701197,3373927,433087,3833834	2
394631,3297387,1701197,3373927,433087,3833834	2
261221,3297387,1701197,3373927,433087,3833834	2
394631,4482236,1701197,3373927,433087,3833834	2
261221,4482236,1701197,3373927,433087,3833834	2
283629,863722,1701197,3373927,433087,3833834	2
1520245,743883,1701197,3373927,433087,3833834	2
283629,2680394,1701197,3373927,433087,3833834	2
1121357,1512323,1701197,3373927,433087,3833834	2
4500187,1512323,1701197,3373927,433087,3833834	2
71454,1246286,1701197,3373927,433087,3833834	2
71454,1246288,1701197,3373927,433087,3833834	2
2245943,3297387,1701197,3373927,433087,3833834	2
2861764,4482236,1701197,3373927,433087,3833834	2
556796,2640,397699,1264828,762411,2135512	2
1215988,2643,404990,1201818,2817795,1962882	2
1215988,779894,404990,1201818,2817795,1962882	2
953247,4952602,397625,354750,765551,1990479	2
953247,947228,397625,354750,765551,1990479	2
2111502,6168510,397625,354750,765551,1990479	2
3754654,6168510,397625,354750,765551,1990479	2
2111503,6168510,397625,354750,765551,1990479	2
1305734,6168510,397625,354750,765551,1990479	2
953247,4557338,397625,354750,765551,1990479	2
953247,2151089,397625,354750,765551,1990479	2
2111502,2719,397625,354750,765551,1990479	2
3754654,2719,397625,354750,765551,1990479	2
2111503,2719,397625,354750,765551,1990479	2
1305734,2719,397625,354750,765551,1990479	2
2111502,1251898,397625,354750,765551,1990479	2
2111502,4557338,397625,354750,765551,1990479	2
2111503,2151089,397625,354750,765551,1990479	2
1526,2723,1456201,3090001,2374723,1960687	2
1526,2160421,1456201,3090001,2374723,1960687	2
39949,2781,893385,4401342,2743591,3208774	2
39949,1408472,893385,4401342,2743591,3208774	2
39949,2120879,893385,4401342,2743591,3208774	2
39949,1011420,893385,4401342,2743591,3208774	2
39949,2178886,893385,4401342,2743591,3208774	2
437979,2781,893385,4401342,2743591,3208774	2
1622,464563,893339,813467,3256532,3739160	2
1622,2038287,893339,813467,3256532,3739160	2
1622,1296966,893339,813467,3256532,3739160	2
3256345,3225220,893339,813467,3256532,3739160	2
3256345,4404972,893339,813467,3256532,3739160	2
3256345,1567659,893339,813467,3256532,3739160	2
3256345,2802,893339,813467,3256532,3739160	2
3256345,464563,893339,813467,3256532,3739160	2
3256345,2038287,893339,813467,3256532,3739160	2
3256345,1296966,893339,813467,3256532,3739160	2
514930,3225220,893339,813467,3256532,3739160	2
514930,4404972,893339,813467,3256532,3739160	2
514930,1567659,893339,813467,3256532,3739160	2
514930,2802,893339,813467,3256532,3739160	2
514930,464563,893339,813467,3256532,3739160	2
514930,2038287,893339,813467,3256532,3739160	2
514930,1296966,893339,813467,3256532,3739160	2
3712848,2823,340624,2951133,433806,1962497	2
63616,2840,893345,3794597,2324674,1960775	2
63616,1280109,893345,3794597,2324674,1960775	2
63616,344138,893345,3794597,2324674,1960775	2
63616,5085413,893345,3794597,2324674,1960775	2
63616,5018755,893345,3794597,2324674,1960775	2
63616,506850,893345,3794597,2324674,1960775	2
63616,1516297,893345,3794597,2324674,1960775	2
63616,5973439,893345,3794597,2324674,1960775	2
63616,1535432,893345,3794597,2324674,1960775	2
63616,743068,893345,3794597,2324674,1960775	2
63616,1307067,893345,3794597,2324674,1960775	2
63616,4637562,893345,3794597,2324674,1960775	2
63616,515901,893345,3794597,2324674,1960775	2
63616,1779804,893345,3794597,2324674,1960775	2
63616,776396,893345,3794597,2324674,1960775	2
63616,3837406,893345,3794597,2324674,1960775	2
63616,3837407,893345,3794597,2324674,1960775	2
63616,1617995,893345,3794597,2324674,1960775	2
63616,1372267,893345,3794597,2324674,1960775	2
63616,2747195,893345,3794597,2324674,1960775	2
63616,1285430,893345,3794597,2324674,1960775	2
63616,1281241,893345,3794597,2324674,1960775	2
63616,1285437,893345,3794597,2324674,1960775	2
63616,5473640,893345,3794597,2324674,1960775	2
63616,1281240,893345,3794597,2324674,1960775	2
63616,6296567,893345,3794597,2324674,1960775	2
63616,808949,893345,3794597,2324674,1960775	2
63616,1617997,893345,3794597,2324674,1960775	2
63616,1370030,893345,3794597,2324674,1960775	2
63616,2067054,893345,3794597,2324674,1960775	2
63616,1832095,893345,3794597,2324674,1960775	2
63616,1876816,893345,3794597,2324674,1960775	2
63616,6044442,893345,3794597,2324674,1960775	2
63616,3564836,893345,3794597,2324674,1960775	2
63616,1495126,893345,3794597,2324674,1960775	2
63616,1176154,893345,3794597,2324674,1960775	2
63616,3523688,893345,3794597,2324674,1960775	2
63616,347481,893345,3794597,2324674,1960775	2
63616,1495120,893345,3794597,2324674,1960775	2
63616,883950,893345,3794597,2324674,1960775	2
63616,2540,893345,3794597,2324674,1960775	2
63616,502311,893345,3794597,2324674,1960775	2
63616,5110859,893345,3794597,2324674,1960775	2
63616,541882,893345,3794597,2324674,1960775	2
63616,5118385,893345,3794597,2324674,1960775	2
397714,4587007,347631,1609420,433838,4347052	2
397714,4587006,347631,1609420,433838,4347052	2
397714,862253,347631,1609420,433838,4347052	2
397714,1455648,347631,1609420,433838,4347052	2
397714,4590272,347631,1609420,433838,4347052	2
322707,436444,347631,1609420,433838,4347052	2
280125,339837,5202869,3090098,433847,1960782	2
456425,339837,5202869,3090098,433847,1960782	2
497934,339837,5202869,3090098,433847,1960782	2
2245030,2975758,5594042,2683344,771255,1960784	2
2245027,2884,5594042,2683344,771255,1960784	2
2245027,1160514,5594042,2683344,771255,1960784	2
2245027,1237164,5594042,2683344,771255,1960784	2
2245027,1361025,5594042,2683344,771255,1960784	2
2245027,2418238,5594042,2683344,771255,1960784	2
2245030,2418238,5594042,2683344,771255,1960784	2
64032,524318,404801,2676104,430270,1991631	2
64032,1281631,404801,2676104,430270,1991631	2
64032,562449,404801,2676104,430270,1991631	2
64032,564522,404801,2676104,430270,1991631	2
64032,1281633,404801,2676104,430270,1991631	2
64032,5132785,404801,2676104,430270,1991631	2
64032,473537,404801,2676104,430270,1991631	2
64032,1251650,404801,2676104,430270,1991631	2
64032,1251649,404801,2676104,430270,1991631	2
64032,1503295,404801,2676104,430270,1991631	2
64032,2060021,404801,2676104,430270,1991631	2
64032,1193478,404801,2676104,430270,1991631	2
64032,5043416,404801,2676104,430270,1991631	2
64032,1454278,404801,2676104,430270,1991631	2
64032,3349210,404801,2676104,430270,1991631	2
64032,5124516,404801,2676104,430270,1991631	2
64032,1332506,404801,2676104,430270,1991631	2
64032,683434,404801,2676104,430270,1991631	2
64032,436378,404801,2676104,430270,1991631	2
64032,1214075,404801,2676104,430270,1991631	2
64032,731546,404801,2676104,430270,1991631	2
1839541,2900,404801,2676104,430270,1991631	2
1754,825041,404801,2676104,430270,1991631	2
1839541,825041,404801,2676104,430270,1991631	2
1754,1372268,404801,2676104,430270,1991631	2
1839541,1372268,404801,2676104,430270,1991631	2
1754,5132785,404801,2676104,430270,1991631	2
2647674,2900,404801,2676104,430270,1991631	2
2647152,2900,404801,2676104,430270,1991631	2
1108022,2900,404801,2676104,430270,1991631	2
433809,2900,404801,2676104,430270,1991631	2
482432,2900,404801,2676104,430270,1991631	2
52005,524318,404801,2676104,430270,1991631	2
52005,532792,404801,2676104,430270,1991631	2
52005,1281631,404801,2676104,430270,1991631	2
52005,562449,404801,2676104,430270,1991631	2
52005,564522,404801,2676104,430270,1991631	2
52005,1281633,404801,2676104,430270,1991631	2
52005,5132785,404801,2676104,430270,1991631	2
52005,473537,404801,2676104,430270,1991631	2
52005,1251650,404801,2676104,430270,1991631	2
52005,1251649,404801,2676104,430270,1991631	2
52005,1503295,404801,2676104,430270,1991631	2
52005,2060021,404801,2676104,430270,1991631	2
52005,1193478,404801,2676104,430270,1991631	2
52005,5043416,404801,2676104,430270,1991631	2
52005,1454278,404801,2676104,430270,1991631	2
52005,3349210,404801,2676104,430270,1991631	2
52005,5124516,404801,2676104,430270,1991631	2
52005,1332506,404801,2676104,430270,1991631	2
52005,683434,404801,2676104,430270,1991631	2
52005,436378,404801,2676104,430270,1991631	2
52005,1214075,404801,2676104,430270,1991631	2
52005,731546,404801,2676104,430270,1991631	2
707144,2900,404801,2676104,430270,1991631	2
562447,2900,404801,2676104,430270,1991631	2
2647674,825041,404801,2676104,430270,1991631	2
2647152,825041,404801,2676104,430270,1991631	2
1108022,825041,404801,2676104,430270,1991631	2
482432,825041,404801,2676104,430270,1991631	2
2647674,1372268,404801,2676104,430270,1991631	2
2647152,1372268,404801,2676104,430270,1991631	2
1108022,1372268,404801,2676104,430270,1991631	2
463993,825041,404801,2676104,430270,1991631	2
463993,1372268,404801,2676104,430270,1991631	2
1108022,1503295,404801,2676104,430270,1991631	2
1108022,2060021,404801,2676104,430270,1991631	2
482432,1193478,404801,2676104,430270,1991631	2
482432,5043416,404801,2676104,430270,1991631	2
482432,1454278,404801,2676104,430270,1991631	2
2111800,331211,340636,3090101,832224,1960789	2
1357086,331211,340636,3090101,832224,1960789	2
1357086,4526792,340636,3090101,832224,1960789	2
742806,2934,405097,3317496,4800173,1960525	2
2176388,2934,405097,3317496,4800173,1960525	2
452769,2934,405097,3317496,4800173,1960525	2
742806,541328,405097,3317496,4800173,1960525	2
2176388,541328,405097,3317496,4800173,1960525	2
742806,6690610,405097,3317496,4800173,1960525	2
2176388,6690610,405097,3317496,4800173,1960525	2
742806,6690612,405097,3317496,4800173,1960525	2
2176388,6690612,405097,3317496,4800173,1960525	2
452769,631165,405097,3317496,4800173,1960525	2
5977939,456238,1161572,388184,430545,372621	2
5170317,5169908,3088368,442840,435318,1215764	2
38937,338917,404795,1043443,4460472,3743484	2
38937,415945,404795,1043443,4460472,3743484	2
38937,4743172,404795,1043443,4460472,3743484	2
687556,2974,404795,1043443,4460472,3743484	2
687556,687555,404795,1043443,4460472,3743484	2
2136,687555,404795,1043443,4460472,3743484	2
2136,415945,404795,1043443,4460472,3743484	2
2136,4743172,404795,1043443,4460472,3743484	2
38932,703081,404795,1043443,4460472,3743484	2
38932,338917,404795,1043443,4460472,3743484	2
38932,415945,404795,1043443,4460472,3743484	2
662600,860365,893354,1614118,3109736,4171747	2
66702,4522186,2102418,3373737,783106,2148488	2
66702,544266,2102418,3373737,783106,2148488	2
66702,1296111,2102418,3373737,783106,2148488	2
66702,1296113,2102418,3373737,783106,2148488	2
66702,1306049,2102418,3373737,783106,2148488	2
66702,1051803,2102418,3373737,783106,2148488	2
66702,4448257,2102418,3373737,783106,2148488	2
66702,1296114,2102418,3373737,783106,2148488	2
66702,1330107,2102418,3373737,783106,2148488	2
66702,981147,2102418,3373737,783106,2148488	2
66702,732620,2102418,3373737,783106,2148488	2
303816,449793,2102418,3373737,783106,2148488	2
593246,449793,2102418,3373737,783106,2148488	2
593245,449793,2102418,3373737,783106,2148488	2
324290,449793,2102418,3373737,783106,2148488	2
593241,4522186,2102418,3373737,783106,2148488	2
593241,544266,2102418,3373737,783106,2148488	2
593241,1296111,2102418,3373737,783106,2148488	2
593241,1296113,2102418,3373737,783106,2148488	2
593241,1306049,2102418,3373737,783106,2148488	2
593241,1051803,2102418,3373737,783106,2148488	2
593241,4448257,2102418,3373737,783106,2148488	2
593241,1288133,2102418,3373737,783106,2148488	2
593241,1296114,2102418,3373737,783106,2148488	2
593241,1330107,2102418,3373737,783106,2148488	2
593241,981147,2102418,3373737,783106,2148488	2
593241,732620,2102418,3373737,783106,2148488	2
2368,544266,2102418,3373737,783106,2148488	2
324290,1296111,2102418,3373737,783106,2148488	2
324290,1296113,2102418,3373737,783106,2148488	2
593246,4448257,2102418,3373737,783106,2148488	2
324290,1296114,2102418,3373737,783106,2148488	2
2369,1286284,393645,3305554,779788,890905	2
2369,859507,393645,3305554,779788,890905	2
2369,1129957,393645,3305554,779788,890905	2
2369,995851,393645,3305554,779788,890905	2
2369,1318187,393645,3305554,779788,890905	2
2369,710221,393645,3305554,779788,890905	2
2369,2264694,393645,3305554,779788,890905	2
2369,2264696,393645,3305554,779788,890905	2
2369,1237366,393645,3305554,779788,890905	2
516639,2483,2593149,752729,3931345,376074	2
241947,2483,2593149,752729,3931345,376074	2
1839618,2289153,2593149,752729,3931345,376074	2
2648228,449942,341216,1634219,437141,409683	2
66989,449942,341216,1634219,437141,409683	2
2234101,449942,341216,1634219,437141,409683	2
2647806,449942,341216,1634219,437141,409683	2
619646,449942,341216,1634219,437141,409683	2
403084,449942,341216,1634219,437141,409683	2
413821,1617999,341216,1634219,437141,409683	2
413821,4958614,341216,1634219,437141,409683	2
413821,3767576,341216,1634219,437141,409683	2
413821,619649,341216,1634219,437141,409683	2
413821,1069932,341216,1634219,437141,409683	2
42849,2484,341216,1634219,437141,409683	2
42849,1617999,341216,1634219,437141,409683	2
17150,2831,397644,3796316,761134,1387547	2
17150,931207,397644,3796316,761134,1387547	2
17150,3071,397644,3796316,761134,1387547	2
17150,931206,397644,3796316,761134,1387547	2
17150,931205,397644,3796316,761134,1387547	2
703282,2831,397644,3796316,761134,1387547	2
454098,2848,405022,3331849,765505,1995384	2
27641,2848,405022,3331849,765505,1995384	2
27652,2848,405022,3331849,765505,1995384	2
250318,2848,405022,3331849,765505,1995384	2
3331805,2848,405022,3331849,765505,1995384	2
3172182,2848,405022,3331849,765505,1995384	2
1849378,2848,405022,3331849,765505,1995384	2
4091295,2848,405022,3331849,765505,1995384	2
2140861,2848,405022,3331849,765505,1995384	2
268620,2848,405022,3331849,765505,1995384	2
433652,2848,405022,3331849,765505,1995384	2
1173313,2848,405022,3331849,765505,1995384	2
699162,2848,405022,3331849,765505,1995384	2
1493010,2848,405022,3331849,765505,1995384	2
6771994,2848,405022,3331849,765505,1995384	2
454098,510995,405022,3331849,765505,1995384	2
389935,2851,404974,1160750,3931439,742910	2
435255,2851,404974,1160750,3931439,742910	2
3636448,2851,404974,1160750,3931439,742910	2
288982,2851,404974,1160750,3931439,742910	2
287285,2851,404974,1160750,3931439,742910	2
435255,480284,404974,1160750,3931439,742910	2
288982,480284,404974,1160750,3931439,742910	2
288982,354998,404974,1160750,3931439,742910	2
1201492,2999,7135793,3381434,3931397,4442748	2
371443,7135978,7135793,3381434,3931397,4442748	2
1201492,7135978,7135793,3381434,3931397,4442748	2
371443,2088947,7135793,3381434,3931397,4442748	2
371443,765244,7135793,3381434,3931397,4442748	2
1201492,1279824,7135793,3381434,3931397,4442748	2
2548475,2999,7135793,3381434,3931397,4442748	2
6026,483485,893397,3516714,779797,3812770	2
6026,506059,893397,3516714,779797,3812770	2
4274362,6144,393581,1804243,3009743,1804246	2
595454,500501,2442832,3108531,829059,1138488	2
410597,464315,2442832,3108531,829059,1138488	2
410597,1519491,2442832,3108531,829059,1138488	2
410597,1237074,2442832,3108531,829059,1138488	2
40083,5693587,2442832,3108531,829059,1138488	2
430067,727868,2442832,3108531,829059,1138488	2
423164,600133,2442832,3108531,829059,1138488	2
1120399,4637487,2442832,3108531,829059,1138488	2
1120399,1237075,2442832,3108531,829059,1138488	2
2506876,894277,893438,3317847,821673,1433501	2
2506876,497536,893438,3317847,821673,1433501	2
2506876,894275,893438,3317847,821673,1433501	2
2506876,894276,893438,3317847,821673,1433501	2
2506876,894279,893438,3317847,821673,1433501	2
2547137,497534,893438,3317847,821673,1433501	2
518553,4604141,893453,3353444,829861,1990478	2
518553,1237194,893453,3353444,829861,1990478	2
518553,4550733,893453,3353444,829861,1990478	2
518553,6690697,893453,3353444,829861,1990478	2
3143846,1403608,893453,3353444,829861,1990478	2
3331071,1403608,893453,3353444,829861,1990478	2
3342832,4604141,893453,3353444,829861,1990478	2
36383,333165,893476,2763781,4537868,2109438	2
2451680,1333123,393570,4387482,830064,1807646	2
2451680,2451696,393570,4387482,830064,1807646	2
2451680,2481123,393570,4387482,830064,1807646	2
415441,726471,393570,4387482,830064,1807646	2
415441,452059,393570,4387482,830064,1807646	2
415441,752823,393570,4387482,830064,1807646	2
415441,790134,393570,4387482,830064,1807646	2
415441,2451696,393570,4387482,830064,1807646	2
954767,512364,393588,1181205,821708,1959782	2
954767,2356310,393588,1181205,821708,1959782	2
2315184,512366,393588,1181205,821708,1959782	2
2315184,1410096,393588,1181205,821708,1959782	2
2315184,3219287,393588,1181205,821708,1959782	2
2315184,1001030,393588,1181205,821708,1959782	2
954767,1001030,393588,1181205,821708,1959782	2
3636469,434833,393578,3305518,830103,4317326	2
3393031,434833,393578,3305518,830103,4317326	2
1839436,434833,393578,3305518,830103,4317326	2
434832,1959249,393578,3305518,830103,4317326	2
434832,1618004,393578,3305518,830103,4317326	2
3738096,992062,994145,2209973,834212,2209978	2
16743,890962,1488025,1575555,2374632,1404017	2
2045005,512373,393634,2603573,776781,891020	2
456381,1101780,1992374,2318746,830771,4388032	2
1126768,340546,1992374,2318746,830771,4388032	2
456381,456382,1992374,2318746,830771,4388032	2
16996,5105065,1534150,3404361,783096,5105103	2
16996,580323,1534150,3404361,783096,5105103	2
16996,1737489,1534150,3404361,783096,5105103	2
16996,512382,1534150,3404361,783096,5105103	2
2891677,1236864,1206582,3319122,787990,1990284	2
5041825,1236864,1206582,3319122,787990,1990284	2
2891677,1236863,1206582,3319122,787990,1990284	2
2891677,865225,1206582,3319122,787990,1990284	2
1506912,512393,393647,3305561,783085,2237785	2
1098794,512393,393647,3305561,783085,2237785	2
1506912,580333,393647,3305561,783085,2237785	2
2883715,477321,393651,3350613,830005,2183642	2
2669043,5057432,992386,2669718,771364,651192	2
2548229,512412,393675,2932471,783055,4069452	2
433614,1383962,1205013,3216849,821670,1990491	2
433614,1774381,1205013,3216849,821670,1990491	2
433614,724228,1205013,3216849,821670,1990491	2
433614,636810,1205013,3216849,821670,1990491	2
433614,636813,1205013,3216849,821670,1990491	2
